ID,IP,DATE,PICS,WEBSITE,
1,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
2,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
3,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
4,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
5,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
6,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
7,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
8,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
9,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
10,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
11,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
12,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
13,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
14,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
15,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
16,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
17,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
18,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
19,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
20,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
21,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
22,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
23,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
24,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
25,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
26,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
27,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
28,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
29,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
30,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
31,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
32,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
33,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
34,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
35,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
36,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
37,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
38,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
39,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
40,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
41,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
42,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
43,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
44,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
45,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
46,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
47,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
48,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
49,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
50,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
51,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
52,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
53,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
54,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
55,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
56,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
57,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
58,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
59,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
60,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
61,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
62,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
63,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
64,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
65,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
66,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
67,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
68,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
69,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
70,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
71,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
72,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
73,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
74,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
75,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
76,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
77,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
78,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
79,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
80,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
81,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
82,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
83,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
84,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
85,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
86,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
87,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
88,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
89,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
90,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
91,123.123.123.123,26/Apr/2000,wpaper.gif,www.jafsoft.com,
92,123.123.123.123,26/Apr/2000,No,image,search.netscape.com
93,123.123.123.123,26/Apr/2000,5star2000.gif,www.jafsoft.com,
94,123.123.123.123,26/Apr/2000,5star.gif,www.jafsoft.com,
95,123.123.123.123,26/Apr/2000,a2hlogo.jpg,www.jafsoft.com,
96,123.123.123.123,26/Apr/2000,No,image,www.jafsoft.com
